,Mean Train loss,Last Train loss,Mean Test loss,Last Test loss,Train time callbacks,GCN sizes,LSTM sizes,History (in days),Test Date
0,61.805039941767845,52.34558063248793,57.3731951713562,49.15955831607182,5.707980814855546,"[4, 4]",[4],6,7 Dec
0,46.57389033014575,46.29167392849922,61.52145582834879,60.004321336746216,3.680078293895349,"[4, 4]",[4],6,8 Dec
0,45.37659512646496,49.42343299587567,67.81767183939616,69.48887286086877,3.552774698473513,"[4, 4]",[4],6,9 Dec
0,46.916976290444524,45.84287072221438,104.84877058664956,107.10754175980885,3.545519400620833,"[4, 4]",[4],6,10 Dec
0,54.919108054290206,55.49762909611066,74.12333790461221,72.99923685689767,3.6994838051032275,"[4, 4]",[4],6,11 Dec
0,54.939744075865526,57.44039881164613,81.9682957695878,77.06185852987286,3.5383077224250883,"[4, 4]",[4],6,12 Dec
0,52.86587368062819,51.382996833518796,84.11785364099171,83.05603099136573,3.595608652336523,"[4, 4]",[4],6,13 Dec
0,54.09260032788811,51.76932234398049,41.27449472339257,39.40361291149874,3.743692642543465,"[4, 4]",[4],6,14 Dec
0,50.672849215214825,49.92642222053331,52.05198613819869,53.22936095904721,3.5595810459926724,"[4, 4]",[4],6,15 Dec
0,51.15255588063282,51.902056373655796,60.52850350815317,65.89744104153436,3.519080393947661,"[4, 4]",[4],6,16 Dec
