,Mean Train loss,Last Train loss,Mean Test loss,Last Test loss,Train time callbacks,GCN sizes,LSTM sizes,History (in days),Test Date
0,63.79924684416098,55.84463728476505,180.4103118494676,189.29164053643092,5.5037190788425505,"[4, 4]",[4],2,15 Nov
0,58.017125972265546,52.60088326917453,50.649335584640504,45.72847340865569,3.6058848621323705,"[4, 4]",[4],3,24 Jan
0,60.70808506335724,46.65544346923178,55.50976055058566,54.16964159702712,3.535491661168635,"[4, 4]",[4],4,24 Jan
0,101.4395765401423,97.3034795075655,75.70568292617799,60.30619378387928,3.957761655561626,"[4, 4]",[4],5,24 Jan
0,118.12704675376415,85.07328995764254,79.26362067413329,63.220941051840775,3.5886092162691057,"[4, 4]",[4],6,15 Nov
0,125.0997655341625,89.91905769705772,81.75656077957153,79.09810479581355,3.9077789108268917,"[4, 4]",[4],7,15 Nov
0,130.05653104162215,100.36874885559081,80.9456512107849,76.86212098002433,3.816685102880001,"[4, 4]",[4],8,15 Nov
0,124.31026535233853,99.29711082577705,81.15049934387206,82.18177621960639,4.12133421190083,"[4, 4]",[4],9,15 Nov
0,116.66850152084231,97.77668754458426,79.71130650329589,73.84851302802562,3.8902733931317925,"[4, 4]",[4],10,15 Nov
0,119.3647419309318,93.17358636260032,75.868715133667,75.85671590268612,4.44782741041854,"[4, 4]",[4],11,15 Nov
0,111.605228395015,98.70951949954032,76.35617679977416,77.39789405167102,4.123991285916418,"[4, 4]",[4],12,15 Nov
0,39.95468831241131,27.386367715895176,53.878091025352475,43.66175037994981,3.7112828381359577,"[4, 4]",[4],2,20 Nov
0,37.91167966257781,28.881705589592457,54.28926042079925,48.06086093187332,3.4562992732971907,"[4, 4]",[4],3,20 Nov
0,49.25882603153586,39.42989183217287,63.20147867202759,52.43054008483887,3.854598144069314,"[4, 4]",[4],4,20 Nov
0,59.32258725441992,50.28046968579292,70.58145943641662,67.4717470407486,3.5907179759815335,"[4, 4]",[4],5,20 Nov
0,90.3536554634265,71.14970557781612,71.28058121015255,62.013538442312296,3.9890061859041452,"[4, 4]",[4],6,20 Nov
0,108.49322427783409,83.75260679235365,72.32435982441251,55.48750823004455,10.134124843869358,"[4, 4]",[4],7,20 Nov
0,108.71426787137437,73.2189289070324,72.65534351401374,58.154480803176895,12.679928292054683,"[4, 4]",[4],8,20 Nov
0,111.16814626829066,92.4349717038487,74.62187056900164,61.35412014364649,3.8668284849263728,"[4, 4]",[4],9,20 Nov
0,114.29956416982412,101.42872878313064,75.81184840393067,66.95528964102267,14.022596751339734,"[4, 4]",[4],10,20 Nov
0,111.51103925585747,87.51913684308528,71.427442653656,54.32872641384601,8.472326119430363,"[4, 4]",[4],11,20 Nov
0,131.00166970282794,120.5647283732891,81.73183963012696,75.61670831143856,14.60076102707535,"[4, 4]",[4],12,20 Nov
0,45.955914500280386,32.90356325490607,49.533695175700714,48.040795276231236,16.2239051470533,"[4, 4]",[4],2,28 Nov
0,64.30515853241086,59.127681178706034,50.829259208497554,49.558610613857,15.556349751073867,"[4, 4]",[4],3,28 Nov
