,Mean Train loss,Last Train loss,Mean Test loss,Last Test loss,Train time callbacks,GCN sizes,LSTM sizes,History (in days),Test Date
0,115.44748437884449,88.85864705145359,69.64155829620361,55.203773233294484,5.777132166549563,"[4, 4]",[4],6,15 Nov
0,114.07632248023152,84.462514513731,66.45370616531372,50.39200350642204,3.8142046637367457,"[8, 8]",[4],6,15 Nov
0,110.09189473316073,88.44820145070553,80.14246746063232,65.17714189887046,3.685162752866745,"[16, 16]",[4],6,15 Nov
0,112.33338163265586,86.61896480321883,81.04937271499634,64.33787339329719,3.9831934308167547,"[32, 32]",[4],6,15 Nov
0,133.645683997035,125.26058899760245,83.01320083236695,79.62954197227954,3.730099130887538,"[4, 4, 4]",[4],6,15 Nov
0,123.67854138979315,87.53874312937259,78.23725559234619,65.11099509000778,4.086989389033988,"[4, 8, 16]",[4],6,15 Nov
0,107.61619632926582,75.72953921556473,75.41833151626587,68.71839670836926,3.5866788167040795,"[4, 4]",[8],6,15 Nov
0,93.5405091663897,68.34853623509407,68.92914372634887,73.01448205411434,3.8164319158531725,"[4, 4]",[16],6,15 Nov
0,80.64951206810771,47.226099389791486,80.9574861946106,70.13444264531135,3.545198278967291,"[4, 4]",[32],6,15 Nov
0,133.55313038051128,123.08798965215682,83.36122286605834,78.52244723141193,5.040521131129935,"[4, 4]","[4, 4]",6,15 Nov
0,130.61098257541656,101.19042109251022,85.0319697380066,134.89459202885627,4.9863203468266875,"[4, 4]","[4, 8]",6,15 Nov
0,119.250122972548,110.95343279838562,143.18457414245603,137.6085408091545,3.8140782753471285,"[4, 4]",[4],6,16 Nov
0,119.24934813946486,110.9400403380394,143.14093907165525,137.65071672201157,3.5851104548200965,"[8, 8]",[4],6,16 Nov
0,119.55476710283756,110.97306205630302,143.75369719696045,137.83622412085532,3.856392915127799,"[16, 16]",[4],6,16 Nov
0,119.64818307435512,110.97392349243164,143.94248356628418,137.85607160925863,3.6994002661667764,"[32, 32]",[4],6,16 Nov
0,119.00242964816093,110.70639588832854,142.7368736114502,137.84239200353622,3.978362671798095,"[4, 4, 4]",[4],6,16 Nov
0,118.83692847168444,110.7720832645893,141.96429174804686,137.73347201943398,3.808100620051846,"[4, 8, 16]",[4],6,16 Nov
0,108.6612080000639,67.41051843464375,120.37026111984252,74.63812835514545,3.8411285686306655,"[4, 4]",[8],6,16 Nov
0,87.08911556574702,59.912084481120104,179.82414037322997,208.07959823608397,3.577496023848653,"[4, 4]",[16],6,16 Nov
0,80.98000706389546,48.93323608040809,170.93155405426023,201.90583481788633,3.8584333900362253,"[4, 4]",[32],6,16 Nov
