,Mean Train loss,Last Train loss,Mean Test loss,Last Test loss,Train time callbacks,GCN sizes,LSTM sizes,History (in days),Test Date
0,70.7051178,49.37589077,53.41798041,58.77199896,3.783702273,"[4, 4]",[32],6,15-Dec
0,91.11961942,75.71102016,62.02677103,51.58894426,5.020667537,"[4, 4]","[4, 4]",6,15-Dec
0,87.40523406,75.06925128,58.23715153,44.03018562,4.734361237,"[4, 4]","[4, 8]",6,15-Dec
0,104.3063,58.4391413,66.98790467,31.8163539,4.029124059,"[4, 4]",[4],6,7-Jan
0,112.602857,84.6875928,76.60419957,63.32159902,3.738964294,"[8, 8]",[4],6,7-Jan
0,113.1962904,84.69908597,77.82389502,63.37164366,4.122385454,"[16, 16]",[4],6,7-Jan
0,113.66524,84.75615226,78.63735374,63.64690974,3.870602337,"[32, 32]",[4],6,7-Jan
0,112.0328706,84.59090564,76.06805855,62.07578894,4.24149352,"[4, 4, 4]",[4],6,7-Jan
0,111.3530189,84.51091178,74.63613294,62.59465025,3.938531423,"[4, 8, 16]",[4],6,7-Jan
0,93.07795957,54.2019815,56.31882991,32.78366913,4.047303448,"[4, 4]",[8],6,7-Jan
0,92.06152727,67.77222856,53.45192136,32.2898742,3.661965895,"[4, 4]",[16],6,7-Jan
0,82.08190235,64.13581596,47.03625712,34.77996959,4.020503281,"[4, 4]",[32],6,7-Jan
0,113.635199,84.68684069,80.1612247,64.29853596,5.204028206,"[4, 4]","[4, 4]",6,7-Jan
0,105.6777905,82.11791192,70.64429094,53.32132042,5.268903701,"[4, 4]","[4, 8]",6,7-Jan
0,104.6347702,58.61460193,59.84174471,38.6459524,3.691892496,"[4, 4]",[4],6,10-Jan
0,105.7027561,59.06080881,61.06735613,38.89730108,3.689979298,"[8, 8]",[4],6,10-Jan
0,106.4804858,59.22804655,62.19487339,38.9963909,3.811856213,"[16, 16]",[4],6,10-Jan
0,106.903826,59.24244596,62.66505658,39.15944932,4.137714209,"[32, 32]",[4],6,10-Jan
0,105.7541164,58.22336403,62.06075791,38.19130271,3.863285009,"[4, 4, 4]",[4],6,10-Jan
0,104.2740852,58.28269037,59.76651557,38.39186174,4.329087929,"[4, 8, 16]",[4],6,10-Jan
0,86.5672325,56.76485407,50.01901881,33.56871032,3.704777573,"[4, 4]",[8],6,10-Jan
0,77.22931535,65.02588065,47.75139569,33.85440004,4.037568051,"[4, 4]",[16],6,10-Jan
0,70.03555152,53.84405627,44.34689052,33.63017327,3.746966421,"[4, 4]",[32],6,10-Jan
0,107.8082924,58.94587899,64.60544224,39.67660113,5.332712948,"[4, 4]","[4, 4]",6,10-Jan
0,90.33264805,56.70435584,56.55428706,33.51591357,5.279986494,"[4, 4]","[4, 8]",6,10-Jan
0,112.5497848,93.54760787,62.82071233,52.63929705,3.773981483,"[4, 4]",[4],6,24-Jan
0,113.3380004,93.71952382,63.63901518,52.45233124,4.125951645,"[8, 8]",[4],6,24-Jan
0,114.038362,93.68677673,64.38960558,52.05185692,3.738319024,"[16, 16]",[4],6,24-Jan
0,114.5838686,93.91500889,65.16832485,51.80047282,4.196950951,"[32, 32]",[4],6,24-Jan
0,112.689178,93.04494631,63.24163363,52.20340945,4.138211534,"[4, 4, 4]",[4],6,24-Jan
0,112.1129293,93.15689494,62.63366697,52.63712646,4.596324427,"[4, 8, 16]",[4],6,24-Jan
0,105.9819653,90.85917217,64.22921159,60.23503473,3.954765582,"[4, 4]",[8],6,24-Jan
0,98.48235467,74.8486557,66.04152839,58.54035401,4.285268658,"[4, 4]",[16],6,24-Jan
0,86.7142225,62.41593446,64.77054583,61.06790866,3.714356594,"[4, 4]",[32],6,24-Jan
0,114.5463315,93.55034934,65.62850854,51.80126013,5.543339649,"[4, 4]","[4, 4]",6,24-Jan
0,107.0140927,89.74366952,66.844478,60.96745288,5.234299086,"[4, 4]","[4, 8]",6,24-Jan
